url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_6cbe446d5f92970bf65f313182c295cd
Topic,Summary
Scope,Total
Period,Daily : 2020-01-01 ~ 2025-11-15
Gender,"All(Female, Male)"
Age ,All
Date,Health
2022-01-10,0.27679
2022-01-11,0.26047
2022-01-12,0.26651
2022-01-13,0.24234
2022-01-14,0.25687
2022-01-15,0.20274
2022-01-16,0.21213
2022-01-17,0.26818
2022-01-18,0.26124
2022-01-19,0.24684
2022-01-20,0.25532
2022-01-21,0.24054
2022-01-22,0.22383
2022-01-23,0.23874
2022-01-24,0.30482
2022-01-25,0.31935
2022-01-26,0.33311
2022-01-27,0.30714
2022-01-28,0.34519
2022-01-29,0.30675
2022-01-30,0.28489
2022-01-31,0.28965
2022-02-01,0.30367
2022-02-02,0.40716
2022-02-03,0.4708
2022-02-04,0.81034
2022-02-05,0.58946
2022-02-06,0.55424
2022-02-07,0.65568
2022-02-08,0.66133
2022-02-09,0.67509
2022-02-10,0.59718
2022-02-11,0.53817
2022-02-12,0.47491
2022-02-13,0.47273
2022-02-14,0.58934
2022-02-15,0.52724
2022-02-16,0.54922
2022-02-17,0.53328
2022-02-18,0.49034
2022-02-19,0.43712
2022-02-20,0.48957
2022-02-21,0.62418
2022-02-22,0.58882
2022-02-23,0.61235
2022-02-24,0.54087
2022-02-25,0.4762
2022-02-26,0.43094
2022-02-27,0.44187
2022-02-28,0.49536
2022-03-01,0.47388
2022-03-02,0.52852
2022-03-03,0.51605
2022-03-04,0.49677
2022-03-05,0.46141
2022-03-06,0.50693
2022-03-07,0.59589
2022-03-08,0.55167
2022-03-09,0.4582
2022-03-10,0.56979
2022-03-11,0.56877
2022-03-12,0.50718
2022-03-13,0.52261
2022-03-14,0.60656
2022-03-15,0.57224
2022-03-16,0.62456
2022-03-17,0.62713
2022-03-18,0.65452
2022-03-19,0.55887
2022-03-20,0.51143
2022-03-21,0.6585
2022-03-22,0.59345
2022-03-23,0.52711
2022-03-24,0.48121
2022-03-25,0.43493
2022-03-26,0.36846
2022-03-27,0.39045
2022-03-28,0.48404
2022-03-29,0.42863
2022-03-30,0.379
2022-03-31,0.34815
2022-04-01,0.30456
2022-04-02,0.26355
2022-04-03,0.26098
2022-04-04,0.32912
2022-04-05,0.30868
2022-04-06,0.28862
2022-04-07,0.29389
2022-04-08,0.23874
2022-04-09,0.20261
2022-04-10,0.20673
2022-04-11,0.2696
2022-04-12,0.2372
2022-04-13,0.22755
2022-04-14,0.22614
